3 classes, kappa=0.287   0.000	3.832	5.414	6.146	7.733	8.332	10.044	10.653	12.774	13.378	16.267	17.121	21.188	22.606	30.195	
3 classes, kappa=0.316   0.000	4.881	6.119	6.912	8.248	8.818	10.397	10.986	13.036	13.640	16.473	17.287	21.495	22.771	30.669	
3 classes, kappa=0.574   0.000	1.761	2.574	3.149	3.897	4.470	5.117	5.807	6.679	7.250	8.520	9.411	11.112	12.345	17.362	
3 classes, kappa=0.638   0.000	1.761	2.541	2.998	3.557	4.022	4.571	5.085	5.757	6.291	7.238	8.050	9.389	10.352	14.581	

5 classes, kappa=0.247   0.000	3.923	6.210	7.891	9.805	11.410	13.374	15.036	17.453	19.060	22.226	24.333	28.111	31.451	39.574	
5 classes, kappa=0.255   0.000	3.878	5.322	6.268	8.062	9.120	10.897	12.262	14.439	15.726	18.701	20.490	24.334	27.417	35.566	
5 classes, kappa=0.442   0.000	3.867	4.995	6.202	7.335	8.328	9.580	10.779	12.279	13.505	15.741	17.263	20.336	23.231	30.792	
5 classes, kappa=0.514   0.000	2.831	3.789	4.441	5.450	6.289	7.386	8.299	9.749	10.770	12.868	14.252	17.163	19.300	26.593	
